state,year,month,period,indicator,percent_complete,percent_pending_investigation,state_name,footnote,footnote_symbol,data_value,predicted_value,date
AK,2019,September,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12.0,12,2019-09-01
AK,2019,October,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12.0,12,2019-10-01
AK,2019,November,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,,2019-11-01
AK,2019,December,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,,2019-12-01
AK,2020,January,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,,2020-01-01
AK,2020,February,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,,2020-02-01
AK,2020,March,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,,2020-03-01
AK,2020,April,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10.0,10,2020-04-01
AK,2020,May,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10.0,10,2020-05-01
AK,2020,June,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12.0,12,2020-06-01
AK,2020,July,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,13.0,13,2020-07-01
AK,2020,August,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,13.0,13,2020-08-01
AK,2020,September,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,13.0,13,2020-09-01
AK,2020,October,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,15.0,15,2020-10-01
AK,2020,November,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,18.0,18,2020-11-01
AK,2020,December,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,21.0,21,2020-12-01
AK,2021,January,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,20.0,20,2021-01-01
AK,2021,February,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,21.0,21,2021-02-01
AK,2021,March,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,20.0,20,2021-03-01
AK,2021,April,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,19.0,19,2021-04-01
AK,2021,May,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,18.0,18,2021-05-01
AK,2021,June,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,17.0,17,2021-06-01
AK,2021,July,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,17.0,17,2021-07-01
AK,2021,August,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,18.0,18,2021-08-01
